1499	Put the words in the correct order.	You need a camera. Your friend has one.<br />You say:<br />Could {{c1::I}} {{c1::borrow}} {{c1::your}} {{c1::camera}} (your / borrow / camera / I)?				
1500	Put the words in the correct order.	Somebody has phoned you, but you are very busy.<br />You say:<br />Can {{c1::I}} {{c1::call}} {{c1::you}} {{c1::back}} {{c1::later}} (back / you / call / later / I)?				
1501	Put the words in the correct order.	Your friend is going for a walk. You'd like to go too.<br />You say:<br />Do {{c1::you}} {{c1::mind}} {{c1::if}} {{c1::I}} {{c1::come}} {{c1::too}} (mind / come / I / you / if / too)?				
1502	Put the words in the correct order.	You and a friend are on a train. It's hot.<br />You say:<br />Is {{c1::it}} {{c1::OK}} {{c1::if}} {{c1::I}} {{c1::open}} {{c1::the}} {{c1::window}} (OK / window / I / the / if / open / it)?				
1503	Put the words in the correct order.	You're in a clothes shop. You want to see if some trousers fit OK.<br />You ask the assistant:<br />Can {{c1::I}} {{c1::try}} {{c1::on}} {{c1::these}} {{c1::trousers}} (on / trousers / I / these / try)?				
1504	Put the words in the correct order.	You go into a cafe and see some people you know.<br />You say:<br />Do {{c1::you}} {{c1::mind}} {{c1::if}} {{c1::I}} {{c1::join}} {{c1::you}} (I / mind / you / join / if / you)?				
1971	Put the words in the correct order.	A: Do you {{c1::know}} {{c1::who}} {{c1::those people}} {{c1::are}} (are / those people / know / who)?<br />B: {No, I've never seen them before.}				
1972	Put the words in the correct order.	A: When {{c1::is}} {{c1::Laura}} {{c1::getting}} {{c1::married}} (Laura / is / married / getting)?<br />B: {Next month.}				
1973	Put the words in the correct order.	A: I wonder {{c1::when}} {{c1::Laura}} {{c1::is}} {{c1::getting}} {{c1::married}} (Laura / is / when / married / getting).<br />B: {Next month.}				
1974	Put the words in the correct order.	A: I'd like to help, but I don't {{c1::know}} {{c1::what}} {{c1::I}} {{c1::can}} {{c1::do}} (what / can / I / know / do).<br />B: {Don't worry. I'll manage OK.}				
1975	Put the words in the correct order.	A: Could {{c1::you}} {{c1::tell}} {{c1::me}} {{c1::where}} {{c1::the station}} {{c1::is}} (tell / the station / you / me / is / where)?<br />B: {Straight on and it's on the left.}				
1976	Put the words in the correct order.	A: Do you know {{c1::whether}} {{c1::anyone}} {{c1::was}} {{c1::injured}} {{c1::in the accident}} (in the accident / injured / anyone / whether / was)?<br />B: {No, everybody was OK.}				
1977	Put the words in the correct order.	A: Which {{c1::film}} {{c1::are}} {{c1::you}} {{c1::going}} {{c1::to see}} (you / to see / going / film / are) tonight?<br />B: {We haven’t decided yet.}				
1978	Put the words in the correct order.	A: I don't know yet {{c1::what time}} {{c1::I}} {{c1::will}} {{c1::arrive}} (what time / will / I / arrive) tomorrow.<br />B: {That's OK. Call me when you get there.}				
1979	Put the words in the correct order.	A: {Why is Vicky unhappy?}<br />B: I don't know. She won't {{c1::say}} {{c1::what}} {{c1::the problem}} {{c1::is}} (the problem / is / say / what).				
