4781	Choose <b>at</b>, <b>in</b> or <b>on</b>.	Where's the car waiting?<br />{{c1::At}} the traffic lights.	At / In / On	"<img src=""EGU_art_u123_1_001.jpg"" />"		
4782	Choose <b>at</b>, <b>in</b> or <b>on</b>.	Where's the fly?<br />{{c1::On}} his arm.	At / In / On	"<img src=""EGU_art_u123_1_002_V2.jpg"" />"		
4783	Choose <b>at</b>, <b>in</b> or <b>on</b>.	Where are the shelves?<br />{{c1::On}} the wall.	At / In / On	"<img src=""EGU_art_u123_1_003.jpg"" />"		
4784	Choose <b>at</b>, <b>in</b> or <b>on</b>.	Where's the Eiffel Tower?<br />{{c1::In}} Paris.	At / In / On	"<img src=""EGU_art_u123_1_004.jpg"" />"		
4785	Choose <b>at</b>, <b>in</b> or <b>on</b>.	Where is the woman standing?<br />{{c1::At}} the door.	At / In / On	"<img src=""EGU_art_u123_1_005_V2.jpg"" />"		
4786	Choose <b>at</b>, <b>in</b> or <b>on</b>.	Where's the notice?<br />{{c1::On}} the door.	At / In / On	"<img src=""EGU_art_u123_1_006.jpg"" />"		
4787	Choose <b>at</b>, <b>in</b> or <b>on</b>.	Where's the key?<br />{{c1::In}} the door.	At / In / On	"<img src=""EGU_art_u123_1_007.jpg"" />"		
4788	Choose <b>at</b>, <b>in</b> or <b>on</b>.	Where's the man standing?<br />{{c1::At}} the gate.	At / In / On	"<img src=""EGU_art_u123_1_008.jpg"" />"		
4789	Choose <b>at</b>, <b>in</b> or <b>on</b>.	Where's the bird?<br />{{c1::On}} the gate.	At / In / On	"<img src=""EGU_art_u123_1_009.jpg"" />"		
4790	Choose <b>at</b>, <b>in</b> or <b>on</b>.	Nicola was wearing a silver ring {{c1::on}} her little finger.	at / in / on			
4791	Choose <b>at</b>, <b>in</b> or <b>on</b>.	I wasn't sure it was the right office. There was no name {{c1::on}} the door.	at / in / on			
4792	Choose <b>at</b>, <b>in</b> or <b>on</b>.	She was holding something {{c1::in}} her hand, but I couldn't see what it was.	at / in / on			
4793	Choose <b>at</b>, <b>in</b> or <b>on</b>.	Leave the motorway {{c1::at}} junction14, and then turn left.	at / in / on			
4794	Choose <b>at</b>, <b>in</b> or <b>on</b>.	How much does it cost to leave your car {{c1::in}} the hotel car park?	at / in / on			
4795	Choose <b>at</b>, <b>in</b> or <b>on</b>.	Emily was sitting {{c1::on}} the balcony reading a book.	at / in / on			
4796	Choose <b>at</b>, <b>in</b> or <b>on</b>.	The man the police are looking for has a scar {{c1::on}} his right cheek.	at / in / on			
4797	Choose <b>at</b>, <b>in</b> or <b>on</b>.	When you get to the airport, you'll have to check in {{c1::at}} desk 20.	at / in / on			
4798	Choose <b>at</b>, <b>in</b> or <b>on</b>.	I like that picture hanging {{c1::on}} the wall.	at / in / on			
4799	Choose <b>at</b>, <b>in</b> or <b>on</b>.	There was a long queue of people {{c1::at}} the bus stop.	at / in / on			
4800	Choose <b>at</b>, <b>in</b> or <b>on</b>.	The weather forecast is {{c1::on}} page 18 of the newspaper.	at / in / on			
4828	Choose <b>at</b>, <b>in</b> or <b>on</b>.	Where does Sue work?<br />{{c1::In}} the sales department.	At / In / On	"<img src=""EGU_art_u124_3_001_V2.jpg"" />"		
4829	Choose <b>at</b>, <b>in</b> or <b>on</b>.	Sue lives in this building. Where's her flat exactly?<br />{{c1::On}} the second floor.	At / In / On	"<img src=""EGU_art_u124_3_002_V2.jpg"" />"		
4830	Choose <b>at</b>, <b>in</b> or <b>on</b>.	Where's the cat?<br />{{c1::At}} the top of the stairs.	At / In / On	"<img src=""EGU_art_u124_3_003_V2.jpg"" />"		
4831	Choose <b>at</b>, <b>in</b> or <b>on</b>.	Where's the dog?<br />{{c1::In}} the back of the car.	At / In / On	"<img src=""EGU_art_u124_3_004_V2.jpg"" />"		
4832	Choose <b>at</b>, <b>in</b> or <b>on</b>.	Liz is in this picture. Where is she?<br />{{c1::At}} the front.	At / In / On	"<img src=""EGU_art_u124_3_005_V2.jpg"" />"		
4833	Choose <b>at</b>, <b>in</b> or <b>on</b>.	Where's the post office?<br />{{c1::On}} the left.	At / In / On	"<img src=""EGU_art_u124_3_006_V2.jpg"" />"		
4834	Choose <b>at</b>, <b>in</b> or <b>on</b>.	Gary is in the cinema. Where is he sitting?<br />{{c1::In}} the back row.	At / In / On	"<img src=""EGU_art_u124_3_007_V2.jpg"" />"		
4835	Choose <b>at</b>, <b>in</b> or <b>on</b>.	Where is the woman standing?<br />{{c1::On|At}} the corner.	At / In / On	"<img src=""EGU_art_u124_3_008_V2.jpg"" />"		
4836	Choose <b>at</b>, <b>in</b> or <b>on</b>.	Where is the man standing?<br />{{c1::In}} the corner.	At / In / On	"<img src=""EGU_art_u124_3_009_V2.jpg"" />"		
