3146	What do we call these things or people?	A ticket to travel by train is a<br />{{c1::train ticket}}.				
3147	What do we call these things or people?	A machine you use to get a ticket is a<br />{{c1::ticket machine}}.				
3148	What do we call these things or people?	The staff at a hotel are the<br />{{c1::hotel staff}}.				
3149	What do we call these things or people?	The results of your exams are your<br />{{c1::exam results}}.				
3150	What do we call these things or people?	A horse that runs in races is a<br />{{c1::racehorse|race horse}}.				
3151	What do we call these things or people?	A race for horses is a<br />{{c1::horse race}}.				
3152	What do we call these things or people?	Shoes for running are<br />{{c1::running shoes}}.				
3153	What do we call these things or people?	A shop that sells shoes is a<br />{{c1::shoe shop}}.				
3154	What do we call these things or people?	The window of a shop is the<br />{{c1::shop window}}.				
3155	What do we call these things or people?	A person who cleans windows is a<br />{{c1::window cleaner}}.				
