234	Test yourself. What is the past simple of these verbs?	buy <br />{{c1::bought}}				
235	Test yourself. What is the past simple of these verbs?	catch <br />{{c1::caught}}				
236	Test yourself. What is the past simple of these verbs?	choose <br />{{c1::chose}}				
237	Test yourself. What is the past simple of these verbs?	cost <br />{{c1::cost}}				
238	Test yourself. What is the past simple of these verbs?	fall <br />{{c1::fell}}				
239	Test yourself. What is the past simple of these verbs?	feel <br />{{c1::felt}}				
240	Test yourself. What is the past simple of these verbs?	fly <br />{{c1::flew}}				
241	Test yourself. What is the past simple of these verbs?	give <br />{{c1::gave}}				
242	Test yourself. What is the past simple of these verbs?	hurt <br />{{c1::hurt}}				
243	Test yourself. What is the past simple of these verbs?	keep <br />{{c1::kept}}				
244	Test yourself. What is the past simple of these verbs?	know <br />{{c1::knew}}				
245	Test yourself. What is the past simple of these verbs?	sell <br />{{c1::sold}}				
246	Test yourself. What is the past simple of these verbs?	spend <br />{{c1::spent}}				
247	Test yourself. What is the past simple of these verbs?	teach <br />{{c1::taught}}				
248	Test yourself. What is the past simple of these verbs?	think <br />{{c1::thought}}				
249	Test yourself. What is the past simple of these verbs?	throw <br />{{c1::threw}}				
250	Test yourself. What is the past simple of these verbs?	understand <br />{{c1::understood}}				
