4927	Complete the sentences. Choose -- for no preposition.	If you need a lift, I can take you {{c1::to}} the station.	at / in / on / to / into / --			
4928	Complete the sentences. Choose -- for no preposition.	The Amazon flows {{c1::into}} the Atlantic Ocean.	at / in / on / to / into / --			
4929	Complete the sentences. Choose -- for no preposition.	I got {{c1::on}} the train and found a seat by the window.	at / in / on / to / into / --			
4930	Complete the sentences. Choose -- for no preposition.	I'm going out now. I'm going {{c1::to}} my English class.	at / in / on / to / into / --			
4931	Complete the sentences. Choose -- for no preposition.	Did you have good time {{c1::at}} the party?	at / in / on / to / into / --			
4932	Complete the sentences. Choose -- for no preposition.	We were delayed and arrived {{c1::--}} home very late.	at / in / on / to / into / --			
4933	Complete the sentences. Choose -- for no preposition.	I lost my key, but I managed to climb {{c1::into}} the house through a window.	at / in / on / to / into / --			
4934	Complete the sentences. Choose -- for no preposition.	How was your trip {{c1::to}} Canada? Did you have a good time?	at / in / on / to / into / --			
4935	Complete the sentences. Choose -- for no preposition.	When did you arrive {{c1::in}} this country?<br />How long have you been here?	at / in / on / to / into / --			
4936	Complete the sentences. Choose -- for no preposition.	I missed the bus, so I walked {{c1::--}} home.	at / in / on / to / into / --			
4937	Complete the sentences. Choose -- for no preposition.	We drove along the main road for about a kilometre and then turned {{c1::into}} a narrow side street.	at / in / on / to / into / --			
