558	Which is right, <b>for</b> or <b>since</b>?	I've been working {{c1::for}} a week.	for / since			
559	Which is right, <b>for</b> or <b>since</b>?	I've been working {{c1::since}} 7 o'clock.	for / since			
560	Which is right, <b>for</b> or <b>since</b>?	I've been working {{c1::for}} five days.	for / since			
561	Which is right, <b>for</b> or <b>since</b>?	I've been working {{c1::since}} Tuesday.	for / since			
562	Which is right, <b>for</b> or <b>since</b>?	I've been working {{c1::for}} a long time.	for / since			
563	Which is right, <b>for</b> or <b>since</b>?	I've been working {{c1::since}} 2010.	for / since			
564	Which is right, <b>for</b> or <b>since</b>?	I've been working {{c1::for}} 20 years.	for / since			
565	Which is right, <b>for</b> or <b>since</b>?	I've been working {{c1::since}} I met you.	for / since			
566	Which is right, <b>for</b> or <b>since</b>?	I've been working {{c1::since}} last summer.	for / since			
567	Which is right, <b>for</b> or <b>since</b>?	I've been working {{c1::for}} 30 minutes.	for / since			
568	Which is right, <b>for</b> or <b>since</b>?	I've been working {{c1::for}} three hours.	for / since			
569	Which is right, <b>for</b> or <b>since</b>?	I've been working {{c1::since}} 15 July.	for / since			
570	Which is right, <b>for</b> or <b>since</b>?	I've been working {{c1::for}} two months.	for / since			
571	Which is right, <b>for</b> or <b>since</b>?	I've been working {{c1::since}} they got married.	for / since			
