5769	Complete the sentences with a preposition (<b>in</b>, <b>for</b>, <b>by</b> etc.).	I'm going away {{c1::on}} Saturday morning.				
5770	Complete the sentences with a preposition (<b>in</b>, <b>for</b>, <b>by</b> etc.).	Robert has been doing the same job {{c1::for}} five years.				
5771	Complete the sentences with a preposition (<b>in</b>, <b>for</b>, <b>by</b> etc.).	Lisa's birthday is {{c1::at}} the end of March. I'm not sure which day.				
5772	Complete the sentences with a preposition (<b>in</b>, <b>for</b>, <b>by</b> etc.).	The train service is very good. The trains are nearly always {{c1::on}} time.				
5773	Complete the sentences with a preposition (<b>in</b>, <b>for</b>, <b>by</b> etc.).	It was a confusing situation. Many things were happening {{c1::at}} the same time.				
5774	Complete the sentences with a preposition (<b>in</b>, <b>for</b>, <b>by</b> etc.).	I couldn't decide whether or not to buy the sweater. I decided not to buy it {{c1::in}} the end.				
5775	Complete the sentences with a preposition (<b>in</b>, <b>for</b>, <b>by</b> etc.).	This road is busy all the time, even {{c1::at}} night.				
5776	Complete the sentences with a preposition (<b>in</b>, <b>for</b>, <b>by</b> etc.).	The ground is wet. It rained {{c1::during|in}} the night.				
5777	Complete the sentences with a preposition (<b>in</b>, <b>for</b>, <b>by</b> etc.).	If you want to apply for the job, your application must be received {{c1::by}} Friday.				
5778	Complete the sentences with a preposition (<b>in</b>, <b>for</b>, <b>by</b> etc.).	I'm going out. I won't be long – I'll be back {{c1::in}} ten minutes.				
5779	Complete the sentences with a preposition (<b>in</b>, <b>for</b>, <b>by</b> etc.).	I saw Helen {{c1::on}} Friday, but I haven't seen her {{c1::since}} then.				
5780	Complete the sentences with a preposition (<b>in</b>, <b>for</b>, <b>by</b> etc.).	The meeting is {{c1::on}} Thursday {{c1::at}} 9.30.				
5781	Complete the sentences with a preposition (<b>in</b>, <b>for</b>, <b>by</b> etc.).	We have friends staying with us {{c1::at}} the moment. They're staying {{c1::until|till}} Friday.				
