3183	Look at the family tree. Who is who?	Tom is {{c1::Nicola's}} husband.	Laura's / Nicola's / Sarah's / Rachel's	"<img src=""egu_art_u081_1_001_v3.jpg"" />"		
3184	Look at the family tree. Who is who?	Rachel is {{c1::Tom's}} sister.	Tom's / Joe's / Nicola's / Sarah's	"<img src=""egu_art_u081_1_001_v3.jpg"" />"		
3185	Look at the family tree. Who is who?	Tom and Nicola are {{c1::Sarah's}} parents.	Joe's / Rachel's / Michael's / Sarah's	"<img src=""egu_art_u081_1_001_v3.jpg"" />"		
3186	Look at the family tree. Who is who?	Rachel is {{c1::Sarah's}} aunt.	Tom's / Joe's / Nicola's / Sarah's	"<img src=""egu_art_u081_1_001_v3.jpg"" />"		
3187	Look at the family tree. Who is who?	Rachel is {{c1::Michael and Laura's}} daughter.	Tom's / Joe's / Sarah's / Michael and Laura's	"<img src=""egu_art_u081_1_001_v3.jpg"" />"		
3188	Look at the family tree. Who is who?	Sarah is {{c1::Rachel's}} niece.	Tom's / Joe's / Rachel's / Nicola's	"<img src=""egu_art_u081_1_001_v3.jpg"" />"		
3189	Look at the family tree. Who is who?	Joe is {{c1::Tom's}} nephew.	Tom's / Sarah's / Rachel's / Michael and Laura's	"<img src=""egu_art_u081_1_001_v3.jpg"" />"		
3190	Look at the family tree. Who is who?	Joe is {{c1::Dan and Rachel's}} son.	Nicola's / Sarah's / Dan and Rachel's / Michael and Laura's	"<img src=""egu_art_u081_1_001_v3.jpg"" />"		
3191	Look at the family tree. Who is who?	Tom is {{c1::Joe's}} uncle.	Nicola's / Joe's / Sarah's / Dan's	"<img src=""egu_art_u081_1_001_v3.jpg"" />"		
3192	Look at the family tree. Who is who?	Sarah is {{c1::Joe's}} cousin.	Nicola's / Tom's / Rachel's / Joe's	"<img src=""egu_art_u081_1_001_v3.jpg"" />"		
