4771	Choose <b>at</b> or <b>in</b>.	There's nothing {{c1::in}} my pockets. They're empty.	at / in			
4772	Choose <b>at</b> or <b>in</b>.	The headquarters of the company are {{c1::in}} California.	at / in			
4773	Choose <b>at</b> or <b>in</b>.	There was an accident {{c1::at}} the crossroads this morning.	at / in			
4774	Choose <b>at</b> or <b>in</b>.	There are some beautiful trees {{c1::in}} the park.	at / in			
4775	Choose <b>at</b> or <b>in</b>.	If you come here by bus, get off {{c1::at}} the stop after the traffic lights.	at / in			
4776	Choose <b>at</b> or <b>in</b>.	My brother lives {{c1::in}} the south-west of England.	at / in			
4777	Choose <b>at</b> or <b>in</b>.	I wouldn't like an office job. I couldn't spend the whole day sitting {{c1::at}} a desk.	at / in			
4778	Choose <b>at</b> or <b>in</b>.	There was a security guard standing {{c1::at}} the entrance to the building.	at / in			
4779	Choose <b>at</b> or <b>in</b>.	Everyone has gone home. There's nobody {{c1::in}} the building.	at / in			
4780	Choose <b>at</b> or <b>in</b>.	There aren't many shops {{c1::in}} the area where I live.	at / in			
4855	Choose <b>at</b> or <b>in</b>.	Were there many people {{c1::at}} the wedding?	in / at			
4856	Choose <b>at</b> or <b>in</b>.	I can't find my phone. I think I left it {{c1::at}} home.	in / at			
4857	Choose <b>at</b> or <b>in</b>.	My friends came to see me when I was {{c1::in}} hospital.	in / at			
4858	Choose <b>at</b> or <b>in</b>.	What did you study {{c1::at}} university?	in / at			
4859	Choose <b>at</b> or <b>in</b>.	Kate wasn't {{c1::at}} work yesterday. She wasn't well.	in / at			
4860	Choose <b>at</b> or <b>in</b>.	Why is she {{c1::in}} prison? What did she do?	in / at			
4861	Choose <b>at</b> or <b>in</b>.	I didn't feel well when I woke up, so I stayed {{c1::in}} bed.	in / at			
4862	Choose <b>at</b> or <b>in</b>.	Where are your children? Are they {{c1::at}} school?	in / at			
4863	Choose <b>at</b> or <b>in</b>.	We didn't stay long {{c1::at}} the party. It wasn't much fun.	in / at			
4864	Choose <b>at</b> or <b>in</b>.	Which country won the most gold medals {{c1::at}} the last Olympic Games?	in / at			
4871	Choose <b>at</b> or <b>in</b>.	There's a public meeting {{c1::at}} the Town Hall tomorrow night.	at / in			
4872	Choose <b>at</b> or <b>in</b>.	The headquarters of the organisation are {{c1::in}} Geneva.	at / in			
4873	Choose <b>at</b> or <b>in</b>.	There isn't a shop {{c1::in}} the village where I live. It's very small.	at / in			
4874	Choose <b>at</b> or <b>in</b>.	We were {{c1::at}} Sarah's house last night. She invited us to dinner.	at / in			
4875	Choose <b>at</b> or <b>in</b>.	There was a robbery {{c1::at}} the supermarket yesterday. Police have arrested a man.	at / in			
4876	Choose <b>at</b> or <b>in</b>.	We went to see a movie last night. It was really hot {{c1::in}} the cinema.	at / in			
4877	Choose <b>at</b> or <b>in</b>.	There were about ten tables {{c1::in}} the restaurant, and four tables outside.	at / in			
4878	Choose <b>at</b> or <b>in</b>.	This is a slow train. It stops {{c1::at}} every station.	at / in			
4879	Choose <b>at</b> or <b>in</b>.	The lights were on {{c1::in}} the house, so I think somebody was at home.	at / in			
