2104	Complete the sentences for each situation.	He didn't fancy {{c1::playing}} tennis.	"<img src=""EGU_art_u053_3_002_V3.jpg"" />"	[sound:053_A_06.mp3]	"<table border=""0""><tbody><tr><td align=""right"" valign=""top""><span>A:</span></td><td valign=""top""> </td><td valign=""top"">Do you want to play tennis?</td></tr><tr><td align=""right"" valign=""top""><span>B:</span></td><td valign=""top""> </td><td valign=""top"">No, not really.</td></tr></tbody></table>"	
2105	Complete the sentences for each situation.	She didn't mind {{c1::waiting}} a few minutes.	"<img src=""EGU_art_u053_3_003_V2.jpg"" />"	[sound:053_A_07.mp3]	"<table border=""0""><tbody><tr><td align=""right"" valign=""top"">A:</td><td valign=""top""> </td><td valign=""top"">Can you wait a few minutes?</td></tr><tr><td align=""right"" valign=""top"">B:</td><td valign=""top""> </td><td valign=""top"">Sure.  No problem.</td></tr></tbody></table>"	
2106	Complete the sentences for each situation.	He denied {{c1::causing}} the accident.	"<img src=""EGU_art_u053_3_004_V2.jpg"" />"	[sound:053_A_08.mp3]	"<table border=""0""><tbody><tr><td align=""right"" valign=""top"">A:</td><td valign=""top""> </td><td valign=""top"">You caused the accident.</td></tr><tr><td align=""right"" valign=""top"">B:</td><td valign=""top""> </td><td valign=""top"">No, I didn't.</td></tr></tbody></table>"	
2107	Complete the sentences for each situation.	She suggested {{c1::having}} a holiday.	"<img src=""egu_art_u053_3_005_v3.jpg"" />"	[sound:053_A_09.mp3]	"<table border=""0""><tbody><tr><td align=""right"" valign=""top"">A:</td><td valign=""top""> </td><td valign=""top"">Why don't we have a holiday?</td></tr><tr><td align=""right"" valign=""top"">B:</td><td valign=""top""> </td><td valign=""top"">That would be nice.</td></tr></tbody></table>"	
2108	Complete the sentences for each situation.	She admitted not {{c1::telling}} the truth.	"<img src=""EGU_art_u053_3_006_V2.jpg"" />"	[sound:053_A_10.mp3]	"<table border=""0""><tbody><tr><td align=""right"" valign=""top"">A:</td><td valign=""top""> </td><td valign=""top"">You didn't tell the truth.</td></tr><tr><td align=""right"" valign=""top"">B:</td><td valign=""top""> </td><td valign=""top"">That's right.  I didn't.</td></tr></tbody></table>"	
2130	Complete the sentences for each situation.	She agreed {{c1::to help}} him.	"<img src=""EGU_art_u054_2_002_V2.jpg"" />"	[sound:054_A_09.mp3]	"<table border=""0""><tbody><tr><td align=""right"" valign=""top"">A:</td><td valign=""top""> </td><td valign=""top"">Please help me.</td></tr><tr><td align=""right"" valign=""top"">B:</td><td valign=""top""> </td><td valign=""top"">OK.</td></tr></tbody></table>"	
2131	Complete the sentences for each situation.	He offered {{c1::to carry}} her bag.	"<img src=""EGU_art_u054_2_003_V2.jpg"" />"	[sound:054_A_10.mp3]	"<table border=""0""><tbody><tr><td align=""right"" valign=""top"">A:</td><td valign=""top""> </td><td valign=""top"">Can I carry your bag for you?</td></tr><tr><td align=""right"" valign=""top"">B:</td><td valign=""top""> </td><td valign=""top"">No, thanks.  I can manage.</td></tr></tbody></table>"	
2132	Complete the sentences for each situation.	She promised {{c1::not to tell}} anyone.	"<img src=""EGU_art_u054_2_004_V2.jpg"" />"	[sound:054_A_11.mp3]	"<table border=""0""><tbody><tr><td align=""right"" valign=""top"">A:</td><td valign=""top""> </td><td valign=""top"">Please don't tell anyone.</td></tr><tr><td align=""right"" valign=""top"">B:</td><td valign=""top""> </td><td valign=""top"">I won't.  I promise.</td></tr></tbody></table>"	
2133	Complete the sentences for each situation.	They arranged {{c1::to meet}} at 8 o'clock.	"<img src=""EGU_art_u054_2_005_V2.jpg"" />"	[sound:054_A_12.mp3]	"<table border=""0""><tbody><tr><td align=""right"" valign=""top"">A:</td><td valign=""top""> </td><td valign=""top"">Let's meet at 8 o'clock.</td></tr><tr><td align=""right"" valign=""top"">B:</td><td valign=""top""> </td><td valign=""top"">OK, fine.</td></tr></tbody></table>"	
2134	Complete the sentences for each situation.	She refused {{c1::to tell}} him her name.	"<img src=""EGU_art_u054_2_006_V2.jpg"" />"	[sound:054_A_13.mp3]	"<table border=""0""><tbody><tr><td align=""right"" valign=""top"">A:</td><td valign=""top""> </td><td valign=""top"">What’s your name?</td></tr><tr><td align=""right"" valign=""top"">B:</td><td valign=""top""> </td><td valign=""top"">I'm not going to tell you.</td></tr></tbody></table>"	
