215	Test your spelling. What is the -<b>ed</b> form of these verbs?	dance <br />{{c1::danced}}				
216	Test your spelling. What is the -<b>ed</b> form of these verbs?	die <br />{{c1::died}}				
217	Test your spelling. What is the -<b>ed</b> form of these verbs?	play <br />{{c1::played}}				
218	Test your spelling. What is the -<b>ed</b> form of these verbs?	pay <br />{{c1::paid}}				
219	Test your spelling. What is the -<b>ed</b> form of these verbs?	stop <br />{{c1::stopped}}				
220	Test your spelling. What is the -<b>ed</b> form of these verbs?	hope <br />{{c1::hoped}}				
221	Test your spelling. What is the -<b>ed</b> form of these verbs?	enjoy <br />{{c1::enjoyed}}				
222	Test your spelling. What is the -<b>ed</b> form of these verbs?	copy <br />{{c1::copied}}				
223	Test your spelling. What is the -<b>ed</b> form of these verbs?	say <br />{{c1::said}}				
224	Test your spelling. What is the -<b>ed</b> form of these verbs?	slip <br />{{c1::slipped}}				
225	Test your spelling. What is the -<b>ed</b> form of these verbs?	try <br />{{c1::tried}}				
226	Test your spelling. What is the -<b>ed</b> form of these verbs?	listen <br />{{c1::listened}}				
227	Test your spelling. What is the -<b>ed</b> form of these verbs?	stay <br />{{c1::stayed}}				
228	Test your spelling. What is the -<b>ed</b> form of these verbs?	carry <br />{{c1::carried}}				
229	Test your spelling. What is the -<b>ed</b> form of these verbs?	visit <br />{{c1::visited}}				
230	Test your spelling. What is the -<b>ed</b> form of these verbs?	study <br />{{c1::studied}}				
231	Test your spelling. What is the -<b>ed</b> form of these verbs?	wait <br />{{c1::waited}}				
232	Test your spelling. What is the -<b>ed</b> form of these verbs?	rob <br />{{c1::robbed}}				
233	Test your spelling. What is the -<b>ed</b> form of these verbs?	jog <br />{{c1::jogged}}				
