5806	Complete the sentences with a preposition (<b>in</b>, <b>for</b>, <b>with</b> etc.).	He's very brave. He's not afraid {{c1::of}} anything.				
5807	Complete the sentences with a preposition (<b>in</b>, <b>for</b>, <b>with</b> etc.).	Don't ask me to decide. I'm not good {{c1::at}} making decisions.				
5808	Complete the sentences with a preposition (<b>in</b>, <b>for</b>, <b>with</b> etc.).	Some people say that Sue is unfriendly, but she's always very nice {{c1::to}} me.				
5809	Complete the sentences with a preposition (<b>in</b>, <b>for</b>, <b>with</b> etc.).	What do you think is the best solution {{c1::to|for}} the problem?				
5810	Complete the sentences with a preposition (<b>in</b>, <b>for</b>, <b>with</b> etc.).	There has been a big increase {{c1::in}} the price of oil recently.				
5811	Complete the sentences with a preposition (<b>in</b>, <b>for</b>, <b>with</b> etc.).	He lives a rather lonely life. He doesn't have much contact {{c1::with}} other people.				
5812	Complete the sentences with a preposition (<b>in</b>, <b>for</b>, <b>with</b> etc.).	Paul is a keen photographer. He likes taking pictures {{c1::of}} people.				
5813	Complete the sentences with a preposition (<b>in</b>, <b>for</b>, <b>with</b> etc.).	Michael got married {{c1::to}} a woman he met when he was studying at college.				
5814	Complete the sentences with a preposition (<b>in</b>, <b>for</b>, <b>with</b> etc.).	The plan has been changed, but nobody seems to know the reason {{c1::for}} this.				
5815	Complete the sentences with a preposition (<b>in</b>, <b>for</b>, <b>with</b> etc.).	I'm surprised {{c1::at|by}} the traffic today. I didn't think it would be so busy.				
5816	Complete the sentences with a preposition (<b>in</b>, <b>for</b>, <b>with</b> etc.).	Thank you for lending me the guidebook. It was full {{c1::of}} useful information.				
5817	Complete the sentences with a preposition (<b>in</b>, <b>for</b>, <b>with</b> etc.).	I'm afraid I've had to change my plans, so I can't meet you tomorrow. I'm sorry {{c1::about}} that.				
